stage,cell_id,predictor,risk_policy,target_style,target_offset_m,ego_init_id,min_center_distance_m,min_footprint_separation_m,footprint_collision,conflict_point_x,conflict_point_y,yield_order_valid,clearance_time_gap_s,logged_footprint_margin_m
day11,B0_fixed_medium_reactive_offset_m3,B0,fixed_medium,reactive,-3.0,50,4.934439432742346,1.5670601099606838,0,30.20320987701416,3.6770708560943604,1,1.5000000223517418,0.25
day11,B0_fixed_medium_reactive_offset_p3,B0,fixed_medium,reactive,3.0,46,4.799277732105357,1.398731668052346,0,30.02671241760254,3.7091797590255737,1,1.3000000193715096,0.25
day11,B0_fixed_medium_reactive_offset_p3,B0,fixed_medium,reactive,3.0,47,5.163526531098721,1.9794918919070927,0,30.303598403930664,3.755495548248291,1,1.5500000230967999,0.25
day11,B0_fixed_medium_reactive_offset_p3,B0,fixed_medium,reactive,3.0,48,4.809578851603788,1.3376157025732864,0,30.290064811706543,3.7696542739868164,1,1.3500000201165676,0.25
day11,B0_fixed_medium_reactive_offset_p3,B0,fixed_medium,reactive,3.0,49,4.97149800157345,1.53941094061475,0,30.297229766845703,3.726470947265625,1,1.4500000216066837,0.25
day11,B0_fixed_medium_reactive_offset_p3,B0,fixed_medium,reactive,3.0,50,5.4909753601040014,2.2532605151680865,0,30.41001033782959,3.6746946573257446,1,1.600000023841858,0.25
day11,B1_adaptive_assertive_offset_m3,B1,adaptive,assertive,-3.0,46,4.535393963358023,1.0894587581632922,0,30.10227870941162,3.7063976526260376,1,1.4500000216066837,0.25
day11,B1_adaptive_assertive_offset_m3,B1,adaptive,assertive,-3.0,47,4.391643735694143,0.9317100313466999,0,29.689452171325684,3.675139904022217,1,1.0000000149011612,0.25
day11,B1_adaptive_assertive_offset_m3,B1,adaptive,assertive,-3.0,48,4.569338466641021,1.1115256578964077,0,30.194174766540527,3.7104709148406982,1,1.5500000230967999,0.25
day11,B1_adaptive_assertive_offset_m3,B1,adaptive,assertive,-3.0,49,4.628165986241114,1.177241050664736,0,30.225611686706543,3.700013756752014,1,1.5000000223517418,0.25
day11,B1_adaptive_assertive_offset_m3,B1,adaptive,assertive,-3.0,50,4.502086760008378,1.0448783337202778,0,30.190834045410156,3.734590172767639,1,1.2500000186264515,0.25
day11,B1_adaptive_assertive_offset_p3,B1,adaptive,assertive,3.0,46,4.8583253039024905,1.4895721653635816,0,30.276334762573242,3.7265851497650146,1,1.4000000208616257,0.25
day11,B1_adaptive_assertive_offset_p3,B1,adaptive,assertive,3.0,47,5.37827786099333,2.2630227490932766,0,30.38593578338623,3.6923712491989136,1,1.600000023841858,0.25
day11,B1_adaptive_assertive_offset_p3,B1,adaptive,assertive,3.0,48,4.812244985900156,1.342221461731122,0,30.284460067749023,3.7720457315444946,1,1.3500000201165676,0.25
day11,B1_adaptive_assertive_offset_p3,B1,adaptive,assertive,3.0,49,5.092876558975398,1.7105531437299546,0,30.308524131774902,3.7441834211349487,1,1.5000000223517418,0.25
day11,B1_adaptive_assertive_offset_p3,B1,adaptive,assertive,3.0,50,5.713546305478461,2.56089014075487,0,30.73839282989502,3.682842493057251,1,1.750000026077032,0.25
day11,B1_adaptive_reactive_offset_m3,B1,adaptive,reactive,-3.0,46,4.32145202488474,0.8270762872789216,0,30.1281156539917,3.6876039505004883,1,1.2000000178813934,0.25
day11,B1_adaptive_reactive_offset_m3,B1,adaptive,reactive,-3.0,47,4.146921367154736,0.6049815449441112,0,29.719783782958984,3.7460083961486816,1,0.850000012665987,0.25
day11,B1_adaptive_reactive_offset_m3,B1,adaptive,reactive,-3.0,48,4.560851026404515,1.097698537598346,0,30.196151733398438,3.698791027069092,1,1.5000000223517418,0.25
day11,B1_adaptive_reactive_offset_m3,B1,adaptive,reactive,-3.0,49,4.5981856659006555,1.143064855597277,0,30.17874526977539,3.6742175817489624,1,1.5000000223517418,0.25
day11,B1_adaptive_reactive_offset_m3,B1,adaptive,reactive,-3.0,50,4.927939773880961,1.568248724288873,0,30.206122398376465,3.689099431037903,1,1.5000000223517418,0.25
day11,B1_adaptive_reactive_offset_p3,B1,adaptive,reactive,3.0,46,4.977231231238883,1.6110500913001997,0,30.38647174835205,3.718205690383911,1,1.4000000208616257,0.25
day11,B1_adaptive_reactive_offset_p3,B1,adaptive,reactive,3.0,47,5.532303602630021,2.461338206385538,0,30.333776473999023,3.6826332807540894,1,1.700000025331974,0.25
