baseline,split,rollout,ego_init_id,cell_id,target_style,response_active,ADE_m,FDE_m,diagonal_gaussian_NLL_nats_per_step
CA,test,S0_ADAPTIVE/scenario_uk_give_way_ego_init_47_smpc_var_risk,47,S0_ADAPTIVE,assertive_constant_speed,0,0.20342597121681014,0.6119849992331218,-2.4702015012235004
train_mean,test,S0_ADAPTIVE/scenario_uk_give_way_ego_init_47_smpc_var_risk,47,S0_ADAPTIVE,assertive_constant_speed,0,0.35240104169610287,0.40966195040893977,-2.2905502945471996
CV,test,S0_ADAPTIVE/scenario_uk_give_way_ego_init_47_smpc_var_risk,47,S0_ADAPTIVE,assertive_constant_speed,0,0.08369381560852503,0.16847642360151602,-2.3991332707815807
CA,test,S0_ADAPTIVE/scenario_uk_give_way_ego_init_47_smpc_var_risk,47,S0_ADAPTIVE,assertive_constant_speed,0,0.7985924668621918,2.027769688457179,-2.4007122245888843
train_mean,test,S0_ADAPTIVE/scenario_uk_give_way_ego_init_47_smpc_var_risk,47,S0_ADAPTIVE,assertive_constant_speed,0,0.3525141556067278,0.4108547735135367,-2.2881607163475772
CV,test,S0_ADAPTIVE/scenario_uk_give_way_ego_init_47_smpc_var_risk,47,S0_ADAPTIVE,assertive_constant_speed,0,0.12475924491791693,0.22137672713478412,-2.3925872795915986
CA,test,S0_ADAPTIVE/scenario_uk_give_way_ego_init_47_smpc_var_risk,47,S0_ADAPTIVE,assertive_constant_speed,0,0.189829059522787,0.39038950158675284,-2.465046397003345
train_mean,test,S0_ADAPTIVE/scenario_uk_give_way_ego_init_47_smpc_var_risk,47,S0_ADAPTIVE,assertive_constant_speed,0,0.3291104428030275,0.3917559207448571,-2.299895021155769
CV,test,S0_ADAPTIVE/scenario_uk_give_way_ego_init_47_smpc_var_risk,47,S0_ADAPTIVE,assertive_constant_speed,0,0.0072791341842740635,0.01177687333867469,-2.4006542620845517
CA,test,S0_ADAPTIVE/scenario_uk_give_way_ego_init_47_smpc_var_risk,47,S0_ADAPTIVE,assertive_constant_speed,0,0.4646754114861101,1.2231528662553213,-2.4547879100778744
train_mean,test,S0_ADAPTIVE/scenario_uk_give_way_ego_init_47_smpc_var_risk,47,S0_ADAPTIVE,assertive_constant_speed,0,0.31891414384676026,0.382635212338618,-2.3060937766616285
CV,test,S0_ADAPTIVE/scenario_uk_give_way_ego_init_48_smpc_var_risk,48,S0_ADAPTIVE,assertive_constant_speed,0,1.9300950643788375,3.7067361671334225,-0.889973641292749
CA,test,S0_ADAPTIVE/scenario_uk_give_way_ego_init_48_smpc_var_risk,48,S0_ADAPTIVE,assertive_constant_speed,0,2.2682074818062743,4.584951261323564,-1.3657359171926173
train_mean,test,S0_ADAPTIVE/scenario_uk_give_way_ego_init_48_smpc_var_risk,48,S0_ADAPTIVE,assertive_constant_speed,0,0.22501114210600667,0.26705593921836807,-2.312518470002995
CV,test,S0_ADAPTIVE/scenario_uk_give_way_ego_init_48_smpc_var_risk,48,S0_ADAPTIVE,assertive_constant_speed,0,1.8628759949200266,3.249465715446806,0.07845271366104581
CA,test,S0_ADAPTIVE/scenario_uk_give_way_ego_init_48_smpc_var_risk,48,S0_ADAPTIVE,assertive_constant_speed,0,0.5311052996709288,0.543850045108518,-1.1600938388756175
train_mean,test,S0_ADAPTIVE/scenario_uk_give_way_ego_init_48_smpc_var_risk,48,S0_ADAPTIVE,assertive_constant_speed,0,0.504940740985957,0.5684147716696825,-2.2083171175704748
CV,test,S0_ADAPTIVE/scenario_uk_give_way_ego_init_48_smpc_var_risk,48,S0_ADAPTIVE,assertive_constant_speed,0,0.5561445027555333,1.1913399384924026,-2.2796759235044766
CA,test,S0_ADAPTIVE/scenario_uk_give_way_ego_init_48_smpc_var_risk,48,S0_ADAPTIVE,assertive_constant_speed,0,3.624005547771689,9.191343509985991,-0.9566227836085561
train_mean,test,S0_ADAPTIVE/scenario_uk_give_way_ego_init_48_smpc_var_risk,48,S0_ADAPTIVE,assertive_constant_speed,0,0.5601920266649411,0.6042032166320256,-2.1349763230566614
CV,test,S0_ADAPTIVE/scenario_uk_give_way_ego_init_48_smpc_var_risk,48,S0_ADAPTIVE,assertive_constant_speed,0,0.9113598455219776,1.6909848494581579,-1.9952676621611012
CA,test,S0_ADAPTIVE/scenario_uk_give_way_ego_init_48_smpc_var_risk,48,S0_ADAPTIVE,assertive_constant_speed,0,1.556810132560551,3.367481055425449,-1.859198558636304
