authority,authority_label,predictor,predictor_label,risk,risk_label,init_id,init_speed_mps,start_longitudinal_offset_m,execution_complete,competence_gate_pass,formal_rollout_pass,legacy_target_first_yield,completion_valid,fixed_geometry_outcome,early_conflict_entry,target_cleared_before_entry,never_entered_fixed_zone,footprint_collision,completion_time_s,min_footprint_separation_m,min_center_distance_m,solver_failure_fraction,average_solve_time_s,max_abs_lateral_error_m,completion_lateral_error_m,postcarla_status,postcarla_errors,rows,any_request_rows,post_request_rows,post_applied_rows,bypass_request_rows,bypass_applied_rows,solver_attempt_rows,solver_optimal_rows,actual_command_diff_rows,any_request_frac,post_applied_frac,bypass_applied_frac,solver_optimal_frac,actual_command_diff_frac
off,Authority off,B1,Retrained MultiPath,adaptive,Adaptive,129,8.289354794742726,-1.8591227838987705,1,1,1,1,1,ego_never_entered_conflict_zone,0,0,1,0,7.1000001057982445,2.831579273637153,5.4179009555485855,0.03496503496503497,0.1027139148115942,6.064638208267037,2.1568455825265165,PASS,,143,127,117,0,26,0,143,138,0,0.8881118881118881,0.0,0.0,0.965034965034965,0.0
off,Authority off,B1,Retrained MultiPath,adaptive,Adaptive,130,8.358482155458335,-1.909616548833755,1,1,1,1,1,ego_never_entered_conflict_zone,0,0,1,0,7.500000111758709,2.8358691471069215,5.4266853507646164,0.039735099337748346,0.11376015244137931,5.670118782519546,1.477075478508365,PASS,,151,127,117,0,26,0,151,145,0,0.8410596026490066,0.0,0.0,0.9602649006622517,0.0
off,Authority off,B1,Retrained MultiPath,fixed_medium,Fixed medium,126,9.834648303069205,-1.8254717304050727,1,0,0,1,1,ego_entered_before_target_clearance,1,0,0,0,7.050000105053186,1.1176566165243063,4.1971174277708085,0.14788732394366197,0.08012421007438016,5.632249621575763,1.2230706599816803,FAIL,Required policy solver_failure_frac=0.148 exceeds 0.050,142,132,124,0,26,0,142,121,0,0.9295774647887324,0.0,0.0,0.852112676056338,0.0
off,Authority off,B1,Retrained MultiPath,fixed_medium,Fixed medium,127,8.160775432779605,1.9981926688404101,1,0,0,1,1,ego_entered_before_target_clearance,1,0,0,1,7.1000001057982445,0.0,3.1645536623018904,0.15384615384615385,0.08494552421487604,4.788835160511654,0.9560180072865702,FAIL,"Footprint collision with target_2: 0.15s, center dmin=3.165m | Required policy solver_failure_frac=0.154 exceeds 0.050",143,132,124,0,25,0,143,121,0,0.9230769230769231,0.0,0.0,0.8461538461538461,0.0
off,Authority off,B1,Retrained MultiPath,fixed_medium,Fixed medium,128,9.709431408440656,-1.0392541658079462,1,0,0,1,1,ego_entered_before_target_clearance,1,0,0,0,6.900000102818012,0.41487616301361946,3.6432481260194973,0.1510791366906475,0.08863406555932202,5.756132916531804,1.261365128253771,FAIL,Required policy solver_failure_frac=0.151 exceeds 0.050,139,133,127,0,26,0,139,118,0,0.9568345323741008,0.0,0.0,0.8489208633093526,0.0
off,Authority off,B1,Retrained MultiPath,fixed_medium,Fixed medium,129,8.289354794742726,-1.8591227838987705,1,1,1,1,1,ego_never_entered_conflict_zone,0,0,1,0,7.550000112503767,2.7744118660285104,5.39211487319736,0.046052631578947366,0.08897966166896552,5.448379917119842,1.1120002452879278,PASS,,152,127,117,0,26,0,152,145,0,0.8355263157894737,0.0,0.0,0.9539473684210527,0.0
off,Authority off,B1,Retrained MultiPath,fixed_medium,Fixed medium,130,8.358482155458335,-1.909616548833755,1,1,1,1,1,ego_never_entered_conflict_zone,0,0,1,0,7.550000112503767,2.81126790055382,5.422310404715141,0.046052631578947366,0.08563756328965517,5.475940564802837,1.1657474382043513,PASS,,152,127,117,0,26,0,152,145,0,0.8355263157894737,0.0,0.0,0.9539473684210527,0.0
off,Authority off,P_star,Transformer-adapted MultiPath,adaptive,Adaptive,126,9.834648303069205,-1.8254717304050727,1,0,0,1,1,ego_entered_before_target_clearance,1,0,0,0,7.000000104308128,0.8175724835442034,3.9659520357408287,0.14893617021276595,0.10868207219166666,5.9359877879842164,1.3782680589124106,FAIL,Required policy solver_failure_frac=0.149 exceeds 0.050,141,133,125,0,26,0,141,120,0,0.9432624113475178,0.0,0.0,0.851063829787234,0.0
off,Authority off,P_star,Transformer-adapted MultiPath,adaptive,Adaptive,127,8.160775432779605,1.9981926688404101,1,0,0,1,1,ego_entered_before_target_clearance,1,0,0,1,6.850000102072954,0.0,3.0739298419579413,0.15942028985507245,0.10641705527586207,4.713762296336575,0.6287594047521823,FAIL,"Footprint collision with target_2: 0.25s, center dmin=3.074m | Required policy solver_failure_frac=0.159 exceeds 0.050",138,132,124,0,25,0,138,116,0,0.9565217391304348,0.0,0.0,0.8405797101449275,0.0
off,Authority off,P_star,Transformer-adapted MultiPath,adaptive,Adaptive,128,9.709431408440656,-1.0392541658079462,1,0,0,1,1,ego_entered_before_target_clearance,1,0,0,0,6.850000102072954,0.40644337173260386,3.6346914446519234,0.15217391304347827,0.10349743355555557,5.572279306418508,1.1073885053044268,FAIL,Required policy solver_failure_frac=0.152 exceeds 0.050,138,133,127,0,26,0,138,117,0,0.9637681159420289,0.0,0.0,0.8478260869565217,0.0
