predictor,risk_policy,target_style,ego_init_id,target_clearance_adjusted_completion_delay_s,min_footprint_separation_m,solver_failure_fraction,supervisor_active_fraction,footprint_collision,yield_order_valid,reactive_active_samples,target_offset_m,offset_label,source_batch,source_cell_id
B1,adaptive,reactive,46,8.600000128149986,0.8270762872789216,0.0,0.1965065502183406,0.0,1.0,16,-3.0,m3,day11_shifted,B1_adaptive_reactive_offset_m3
B1,adaptive,reactive,47,7.1000001057982445,0.6049815449441112,0.0,0.208955223880597,0.0,1.0,18,-3.0,m3,day11_shifted,B1_adaptive_reactive_offset_m3
B1,adaptive,reactive,48,9.650000143796206,1.097698537598346,0.0,0.1836734693877551,0.0,1.0,9,-3.0,m3,day11_shifted,B1_adaptive_reactive_offset_m3
B1,adaptive,reactive,49,8.550000127404928,1.143064855597277,0.0,0.20087336244541484,0.0,1.0,17,-3.0,m3,day11_shifted,B1_adaptive_reactive_offset_m3
B1,adaptive,reactive,50,9.55000014230609,1.568248724288873,0.0,0.18548387096774194,0.0,1.0,16,-3.0,m3,day11_shifted,B1_adaptive_reactive_offset_m3
B1,adaptive,reactive,46,9.450000140815973,0.8385478450793392,0.004166666666666667,0.1625,0.0,1.0,15,0.0,0,day10_nominal,B1_adaptive_reactive
B1,adaptive,reactive,47,7.250000108033419,1.0166451664745086,0.0,0.12903225806451613,0.0,1.0,0,0.0,0,day10_nominal,B1_adaptive_reactive
B1,adaptive,reactive,48,9.250000137835741,1.122764224844698,0.00851063829787234,0.1829787234042553,0.0,1.0,10,0.0,0,day10_nominal,B1_adaptive_reactive
B1,adaptive,reactive,49,7.9500001184642315,1.215280911937039,0.0048543689320388345,0.16990291262135923,0.0,1.0,9,0.0,0,day10_nominal,B1_adaptive_reactive
B1,adaptive,reactive,50,9.050000134855509,1.8078267845874658,0.004524886877828055,0.13122171945701358,0.0,1.0,0,0.0,0,day10_nominal,B1_adaptive_reactive
B1,adaptive,reactive,46,8.950000133365393,1.6110500913001997,0.02830188679245283,0.09905660377358491,0.0,1.0,0,3.0,p3,day11_shifted,B1_adaptive_reactive_offset_p3
B1,adaptive,reactive,47,10.150000151246786,2.461338206385538,0.012711864406779662,0.07203389830508475,0.0,1.0,0,3.0,p3,day11_shifted,B1_adaptive_reactive_offset_p3
B1,adaptive,reactive,48,7.450000111013651,1.2777533432920585,0.03260869565217391,0.15217391304347827,0.0,1.0,0,3.0,p3,day11_shifted,B1_adaptive_reactive_offset_p3
B1,adaptive,reactive,49,8.550000127404928,1.9645946289529255,0.029556650246305417,0.10837438423645321,0.0,1.0,0,3.0,p3,day11_shifted,B1_adaptive_reactive_offset_p3
B1,adaptive,reactive,50,8.200000122189522,2.8770398825220957,0.020512820512820513,0.11282051282051282,0.0,1.0,0,3.0,p3,day11_shifted,B1_adaptive_reactive_offset_p3
B1,fixed_medium,assertive,46,9.850000146776438,0.8375614685697513,0.0,0.14344262295081966,0.0,1.0,0,-3.0,m3,day11_shifted,B1_fixed_medium_assertive_offset_m3
B1,fixed_medium,assertive,47,7.200000107288361,0.9105402021446383,0.0,0.16145833333333334,0.0,1.0,0,-3.0,m3,day11_shifted,B1_fixed_medium_assertive_offset_m3
B1,fixed_medium,assertive,48,8.50000012665987,1.1266536759746595,0.0,0.18433179723502305,0.0,1.0,0,-3.0,m3,day11_shifted,B1_fixed_medium_assertive_offset_m3
B1,fixed_medium,assertive,49,8.25000012293458,1.1606573750602105,0.0,0.1650943396226415,0.0,1.0,0,-3.0,m3,day11_shifted,B1_fixed_medium_assertive_offset_m3
B1,fixed_medium,assertive,50,8.550000127404928,1.699625218846003,0.0,0.1651376146788991,0.0,1.0,0,-3.0,m3,day11_shifted,B1_fixed_medium_assertive_offset_m3
B1,fixed_medium,assertive,46,7.850000116974115,0.9869335922513305,0.005076142131979695,0.14213197969543148,0.0,1.0,0,0.0,0,day10_nominal,B1_fixed_medium_assertive
B1,fixed_medium,assertive,47,7.200000107288361,1.0298477829869916,0.0,0.12972972972972974,0.0,1.0,0,0.0,0,day10_nominal,B1_fixed_medium_assertive
B1,fixed_medium,assertive,48,10.500000156462193,1.1238280588666003,0.008,0.132,0.0,1.0,0,0.0,0,day10_nominal,B1_fixed_medium_assertive
B1,fixed_medium,assertive,49,8.550000127404928,1.3447483746359856,0.004761904761904762,0.13333333333333333,0.0,1.0,0,0.0,0,day10_nominal,B1_fixed_medium_assertive
B1,fixed_medium,assertive,50,10.250000152736902,1.7972486940575538,0.004081632653061225,0.11836734693877551,0.0,1.0,0,0.0,0,day10_nominal,B1_fixed_medium_assertive
B1,fixed_medium,assertive,46,8.150000121444464,1.2474763878528858,0.02030456852791878,0.1065989847715736,0.0,1.0,0,3.0,p3,day11_shifted,B1_fixed_medium_assertive_offset_p3
B1,fixed_medium,assertive,47,7.550000112503767,1.8189276859497985,0.016216216216216217,0.08648648648648649,0.0,1.0,0,3.0,p3,day11_shifted,B1_fixed_medium_assertive_offset_p3
B1,fixed_medium,assertive,48,8.350000124424696,1.3501594772096865,0.03,0.135,0.0,1.0,0,3.0,p3,day11_shifted,B1_fixed_medium_assertive_offset_p3
B1,fixed_medium,assertive,49,8.950000133365393,1.5410174992925978,0.018867924528301886,0.10377358490566038,0.0,1.0,0,3.0,p3,day11_shifted,B1_fixed_medium_assertive_offset_p3
B1,fixed_medium,assertive,50,8.800000131130219,2.301375929388576,0.014423076923076924,0.10576923076923077,0.0,1.0,0,3.0,p3,day11_shifted,B1_fixed_medium_assertive_offset_p3
B1,fixed_medium,reactive,46,8.200000122189522,0.8137561891071389,0.0,0.20270270270270271,0.0,1.0,16,-3.0,m3,day11_shifted,B1_fixed_medium_reactive_offset_m3
B1,fixed_medium,reactive,47,7.500000111758709,0.9618869950086008,0.0,0.1971153846153846,0.0,1.0,18,-3.0,m3,day11_shifted,B1_fixed_medium_reactive_offset_m3
B1,fixed_medium,reactive,48,10.600000157952309,1.1092748609712701,0.0,0.17045454545454544,0.0,1.0,9,-3.0,m3,day11_shifted,B1_fixed_medium_reactive_offset_m3
B1,fixed_medium,reactive,49,8.550000127404928,1.1527320493977176,0.0,0.20087336244541484,0.0,1.0,17,-3.0,m3,day11_shifted,B1_fixed_medium_reactive_offset_m3
B1,fixed_medium,reactive,50,9.150000136345625,1.5190175367224694,0.0,0.19166666666666668,0.0,1.0,16,-3.0,m3,day11_shifted,B1_fixed_medium_reactive_offset_m3
B1,fixed_medium,reactive,46,9.350000139325857,0.8439250634200585,0.004201680672268907,0.1638655462184874,0.0,1.0,15,0.0,0,day10_nominal,B1_fixed_medium_reactive
B1,fixed_medium,reactive,47,7.300000108778477,1.0386985900543304,0.0,0.12834224598930483,0.0,1.0,0,0.0,0,day10_nominal,B1_fixed_medium_reactive
B1,fixed_medium,reactive,48,7.750000115483999,1.1185054978253999,0.004878048780487805,0.2097560975609756,0.0,1.0,10,0.0,0,day10_nominal,B1_fixed_medium_reactive
B1,fixed_medium,reactive,49,10.250000152736902,1.1585835591023623,0.003968253968253968,0.1388888888888889,0.0,1.0,9,0.0,0,day10_nominal,B1_fixed_medium_reactive
B1,fixed_medium,reactive,50,10.30000015348196,1.7972202793308303,0.0040650406504065045,0.11788617886178862,0.0,1.0,0,0.0,0,day10_nominal,B1_fixed_medium_reactive
B1,fixed_medium,reactive,46,7.400000110268593,1.3758062755631613,0.02197802197802198,0.11538461538461539,0.0,1.0,0,3.0,p3,day11_shifted,B1_fixed_medium_reactive_offset_p3
B1,fixed_medium,reactive,47,8.200000122189522,1.7131931636604927,0.015151515151515152,0.08080808080808081,0.0,1.0,0,3.0,p3,day11_shifted,B1_fixed_medium_reactive_offset_p3
B1,fixed_medium,reactive,48,8.350000124424696,1.33608938540588,0.035,0.135,0.0,1.0,0,3.0,p3,day11_shifted,B1_fixed_medium_reactive_offset_p3
B1,fixed_medium,reactive,49,7.750000115483999,1.5436096417099567,0.02127659574468085,0.11702127659574468,0.0,1.0,0,3.0,p3,day11_shifted,B1_fixed_medium_reactive_offset_p3
B1,fixed_medium,reactive,50,10.650000158697367,2.256984751673048,0.012195121951219513,0.08943089430894309,0.0,1.0,0,3.0,p3,day11_shifted,B1_fixed_medium_reactive_offset_p3
