inference_scope,contrast,metric,left_minus_right_mean,ci95_low,ci95_high,exact_init_cluster_sign_flip_p,condition_pairs,independent_init_groups,holm_adjusted_p_within_scope
synthesis_offset_primary,offset_0_minus_m3__B0__adaptive,target_clearance_adjusted_completion_delay_s,-0.9200000137090683,-1.595000023767352,-0.23000000342726706,0.125,10,5,1.0
synthesis_offset_primary,offset_0_minus_m3__B0__adaptive,min_footprint_separation_m,0.02803340525314011,-0.0885935639984516,0.12163473702261418,0.75,10,5,1.0
synthesis_offset_primary,offset_0_minus_m3__B0__adaptive,solver_failure_fraction,0.0037031795431962727,0.001847965183309016,0.004647620174297094,0.125,10,5,1.0
synthesis_offset_primary,offset_0_minus_m3__B0__adaptive,supervisor_active_fraction,-0.019904889831904613,-0.034604024501269495,-0.005205755162539735,0.0625,10,5,1.0
synthesis_offset_primary,offset_p3_minus_0__B0__adaptive,target_clearance_adjusted_completion_delay_s,0.5450000081211328,-0.26500000394880774,1.570000023394823,0.4375,10,5,1.0
synthesis_offset_primary,offset_p3_minus_0__B0__adaptive,min_footprint_separation_m,0.6321443714557337,0.3911591004253617,0.8731562665787113,0.0625,10,5,1.0
synthesis_offset_primary,offset_p3_minus_0__B0__adaptive,solver_failure_fraction,0.017693545064768675,0.013554852228998188,0.022119737900363763,0.0625,10,5,1.0
synthesis_offset_primary,offset_p3_minus_0__B0__adaptive,supervisor_active_fraction,-0.04341615568906108,-0.052839334575009556,-0.03241808760709238,0.0625,10,5,1.0
synthesis_offset_primary,offset_p3_minus_m3__B0__adaptive,target_clearance_adjusted_completion_delay_s,-0.37500000558793545,-1.2050000179558993,0.45500000678002833,0.4375,10,5,1.0
synthesis_offset_primary,offset_p3_minus_m3__B0__adaptive,min_footprint_separation_m,0.6601777767088738,0.43130237353509937,0.8844687574157556,0.0625,10,5,1.0
synthesis_offset_primary,offset_p3_minus_m3__B0__adaptive,solver_failure_fraction,0.02139672460796495,0.01539612207026803,0.02662315703243029,0.0625,10,5,1.0
synthesis_offset_primary,offset_p3_minus_m3__B0__adaptive,supervisor_active_fraction,-0.0633210455209657,-0.07639556563270629,-0.05005237491797904,0.0625,10,5,1.0
synthesis_predictor_x_offset_primary,predictor_x_offset_0_vs_m3__fixed_medium,target_clearance_adjusted_completion_delay_s,1.0500000156462193,0.37000000551342965,1.5600000232458116,0.125,10,5,1.0
synthesis_predictor_x_offset_primary,predictor_x_offset_0_vs_m3__fixed_medium,min_footprint_separation_m,0.08008846928276012,-0.010065321346865363,0.23222179848363056,0.5,10,5,1.0
synthesis_predictor_x_offset_primary,predictor_x_offset_0_vs_m3__fixed_medium,solver_failure_fraction,-0.000685974065086952,-0.001564089619771424,-0.0001466496852367438,0.125,10,5,1.0
synthesis_predictor_x_offset_primary,predictor_x_offset_0_vs_m3__fixed_medium,supervisor_active_fraction,-0.01343465267333287,-0.023138792298052397,-0.0012274865756124215,0.125,10,5,1.0
synthesis_predictor_x_offset_primary,predictor_x_offset_p3_vs_0__fixed_medium,target_clearance_adjusted_completion_delay_s,-0.9450000140815973,-2.0150000300258397,-0.07000000104308128,0.1875,10,5,1.0
synthesis_predictor_x_offset_primary,predictor_x_offset_p3_vs_0__fixed_medium,min_footprint_separation_m,-0.004497728129658885,-0.03750445777133125,0.023008234797562886,0.8125,10,5,1.0
synthesis_predictor_x_offset_primary,predictor_x_offset_p3_vs_0__fixed_medium,solver_failure_fraction,0.0015729628774553597,0.0006639080087885521,0.0023835196419818043,0.0625,10,5,1.0
synthesis_predictor_x_offset_primary,predictor_x_offset_p3_vs_0__fixed_medium,supervisor_active_fraction,0.007570557326083678,-0.0024850695221595026,0.019535308487981594,0.5,10,5,1.0
synthesis_predictor_x_offset_primary,predictor_x_offset_p3_vs_m3__fixed_medium,target_clearance_adjusted_completion_delay_s,0.10500000156462193,-0.8300000123679638,1.0400000154972076,0.875,10,5,1.0
synthesis_predictor_x_offset_primary,predictor_x_offset_p3_vs_m3__fixed_medium,min_footprint_separation_m,0.07559074115310124,-0.027404816926611675,0.21918120941006278,0.375,10,5,1.0
synthesis_predictor_x_offset_primary,predictor_x_offset_p3_vs_m3__fixed_medium,solver_failure_fraction,0.000886988812368408,0.0002750560663445901,0.0014823971363067188,0.125,10,5,1.0
synthesis_predictor_x_offset_primary,predictor_x_offset_p3_vs_m3__fixed_medium,supervisor_active_fraction,-0.005864095347249193,-0.019219757342892045,0.007270226414572386,0.5,10,5,1.0
synthesis_predictor_x_offset_primary,predictor_x_offset_0_vs_m3__adaptive,target_clearance_adjusted_completion_delay_s,0.8550000127404929,-0.04500000067055225,1.595000023767352,0.1875,10,5,1.0
synthesis_predictor_x_offset_primary,predictor_x_offset_0_vs_m3__adaptive,min_footprint_separation_m,0.13952687601025712,-0.03689908348822683,0.3415457285818329,0.3125,10,5,1.0
synthesis_predictor_x_offset_primary,predictor_x_offset_0_vs_m3__adaptive,solver_failure_fraction,0.00036283939679596186,-3.4396457905267774e-05,0.0010131423028453533,0.5,10,5,1.0
synthesis_predictor_x_offset_primary,predictor_x_offset_0_vs_m3__adaptive,supervisor_active_fraction,-0.012289240396221446,-0.026654996637258177,0.002076515844815288,0.25,10,5,1.0
synthesis_predictor_x_offset_primary,predictor_x_offset_p3_vs_0__adaptive,target_clearance_adjusted_completion_delay_s,-0.47000000700354577,-1.1050000164657832,-0.010000000149011612,0.1875,10,5,1.0
synthesis_predictor_x_offset_primary,predictor_x_offset_p3_vs_0__adaptive,min_footprint_separation_m,0.0965105504435371,0.0051213590534850304,0.186987517191156,0.125,10,5,1.0
synthesis_predictor_x_offset_primary,predictor_x_offset_p3_vs_0__adaptive,solver_failure_fraction,0.002012566003455494,0.0003641617447727955,0.003676548768146731,0.1875,10,5,1.0
synthesis_predictor_x_offset_primary,predictor_x_offset_p3_vs_0__adaptive,supervisor_active_fraction,0.00621945437682285,-0.0009444419391225423,0.01587177879504169,0.25,10,5,1.0
synthesis_predictor_x_offset_primary,predictor_x_offset_p3_vs_m3__adaptive,target_clearance_adjusted_completion_delay_s,0.38500000573694704,-0.5400000080466271,1.3750000204890966,0.5625,10,5,1.0
synthesis_predictor_x_offset_primary,predictor_x_offset_p3_vs_m3__adaptive,min_footprint_separation_m,0.2360374264537942,-0.0019032200196053006,0.5004831972086816,0.25,10,5,1.0
synthesis_predictor_x_offset_primary,predictor_x_offset_p3_vs_m3__adaptive,solver_failure_fraction,0.002375405400251455,0.0009171056380700114,0.0040852142574124934,0.125,10,5,1.0
synthesis_predictor_x_offset_primary,predictor_x_offset_p3_vs_m3__adaptive,supervisor_active_fraction,-0.006069786019398596,-0.02524839574188467,0.010300323918678975,0.625,10,5,1.0
