ego_init_id,outcome,contrast,effect
108,prediction_wall_time_p50_ms,risk_effect_authority_on,-0.833696685731411
108,prediction_wall_time_p50_ms,risk_effect_authority_off,3.4237951040267944
108,prediction_wall_time_p50_ms,authority_effect_adaptive,1.8243296071887016
108,prediction_wall_time_p50_ms,authority_effect_fixed_medium,6.081821396946907
108,prediction_wall_time_p95_ms,risk_effect_authority_on,-18.580096773803234
108,prediction_wall_time_p95_ms,risk_effect_authority_off,0.8648186922073364
108,prediction_wall_time_p95_ms,authority_effect_adaptive,-10.504458099603653
108,prediction_wall_time_p95_ms,authority_effect_fixed_medium,8.940457366406918
108,prediction_wall_time_p99_ms,risk_effect_authority_on,40.735369436442795
108,prediction_wall_time_p99_ms,risk_effect_authority_off,32.425542324781475
108,prediction_wall_time_p99_ms,authority_effect_adaptive,18.871466275304215
108,prediction_wall_time_p99_ms,authority_effect_fixed_medium,10.561639163642894
108,supervisor_candidate_requested_fraction,risk_effect_authority_on,0.011768596327419861
108,supervisor_candidate_requested_fraction,risk_effect_authority_off,0.0
108,supervisor_candidate_requested_fraction,authority_effect_adaptive,-0.5084087970236852
108,supervisor_candidate_requested_fraction,authority_effect_fixed_medium,-0.5201773933511051
108,supervisor_authority_applied_fraction,risk_effect_authority_on,0.011768596327419861
108,supervisor_authority_applied_fraction,risk_effect_authority_off,0.0
108,supervisor_authority_applied_fraction,authority_effect_adaptive,0.22835108424486664
108,supervisor_authority_applied_fraction,authority_effect_fixed_medium,0.21658248791744678
108,candidate_minus_nominal_accel_mean_mps2,risk_effect_authority_on,-0.025420482566362423
108,candidate_minus_nominal_accel_mean_mps2,risk_effect_authority_off,0.0010125487304573078
108,candidate_minus_nominal_accel_mean_mps2,authority_effect_adaptive,1.552459963185928
108,candidate_minus_nominal_accel_mean_mps2,authority_effect_fixed_medium,1.5788929944827477
108,candidate_minus_nominal_accel_abs_mean_mps2,risk_effect_authority_on,0.028322746137776078
108,candidate_minus_nominal_accel_abs_mean_mps2,risk_effect_authority_off,-0.0010125487304573078
108,candidate_minus_nominal_accel_abs_mean_mps2,authority_effect_adaptive,-1.471880449409377
108,candidate_minus_nominal_accel_abs_mean_mps2,authority_effect_fixed_medium,-1.5012157442776104
108,actual_minus_nominal_accel_mean_mps2,risk_effect_authority_on,-0.025420482566362423
108,actual_minus_nominal_accel_mean_mps2,risk_effect_authority_off,0.0
108,actual_minus_nominal_accel_mean_mps2,authority_effect_adaptive,-0.5022560798719773
108,actual_minus_nominal_accel_mean_mps2,authority_effect_fixed_medium,-0.47683559730561487
108,actual_minus_nominal_accel_abs_mean_mps2,risk_effect_authority_on,0.028322746137776078
108,actual_minus_nominal_accel_abs_mean_mps2,risk_effect_authority_off,0.0
108,actual_minus_nominal_accel_abs_mean_mps2,authority_effect_adaptive,0.5828355936485282
108,actual_minus_nominal_accel_abs_mean_mps2,authority_effect_fixed_medium,0.5545128475107521
108,cautious_approach_progress_m,risk_effect_authority_on,
108,cautious_approach_progress_m,risk_effect_authority_off,
108,cautious_approach_progress_m,authority_effect_adaptive,
108,cautious_approach_progress_m,authority_effect_fixed_medium,
108,first_stop_distance_to_conflict_m,risk_effect_authority_on,
108,first_stop_distance_to_conflict_m,risk_effect_authority_off,
108,first_stop_distance_to_conflict_m,authority_effect_adaptive,
108,first_stop_distance_to_conflict_m,authority_effect_fixed_medium,
108,first_stop_distance_to_designed_stop_m,risk_effect_authority_on,
108,first_stop_distance_to_designed_stop_m,risk_effect_authority_off,
108,first_stop_distance_to_designed_stop_m,authority_effect_adaptive,
108,first_stop_distance_to_designed_stop_m,authority_effect_fixed_medium,
108,stopped_duration_s,risk_effect_authority_on,
108,stopped_duration_s,risk_effect_authority_off,
108,stopped_duration_s,authority_effect_adaptive,
108,stopped_duration_s,authority_effect_fixed_medium,
108,nominal_conflict_clear_to_actual_path_release_s,risk_effect_authority_on,
108,nominal_conflict_clear_to_actual_path_release_s,risk_effect_authority_off,
108,nominal_conflict_clear_to_actual_path_release_s,authority_effect_adaptive,
108,nominal_conflict_clear_to_actual_path_release_s,authority_effect_fixed_medium,
108,actual_path_release_to_sustained_resume_s,risk_effect_authority_on,
108,actual_path_release_to_sustained_resume_s,risk_effect_authority_off,
108,actual_path_release_to_sustained_resume_s,authority_effect_adaptive,
108,actual_path_release_to_sustained_resume_s,authority_effect_fixed_medium,
108,buffered_conflict_clear_to_sustained_resume_s,risk_effect_authority_on,
108,buffered_conflict_clear_to_sustained_resume_s,risk_effect_authority_off,
108,buffered_conflict_clear_to_sustained_resume_s,authority_effect_adaptive,
108,buffered_conflict_clear_to_sustained_resume_s,authority_effect_fixed_medium,
109,failure_penalized_completion_time_s,risk_effect_authority_on,0.125
109,failure_penalized_completion_time_s,risk_effect_authority_off,0.0
109,failure_penalized_completion_time_s,authority_effect_adaptive,-19.675
