hypothesis,contrast_id,metric,target_style,treatment_predictor,control_predictor,treatment_policy,control_policy,ego_init_id,treatment_value,control_value,treatment_minus_control,pair_complete,missing_reason
H4,H4_B0_assertive_adaptive_minus_fixed_aggressive,minimum_footprint_separation_m,assertive,B0,B0,adaptive,fixed_aggressive,102,1.465869709627892,1.4852721379756382,-0.01940242834774608,1,
H4,H4_B0_assertive_adaptive_minus_fixed_aggressive,minimum_footprint_separation_m,assertive,B0,B0,adaptive,fixed_aggressive,103,0.9456017515624402,0.9392626739434746,0.006339077618965572,1,
H4,H4_B0_assertive_adaptive_minus_fixed_aggressive,minimum_footprint_separation_m,assertive,B0,B0,adaptive,fixed_aggressive,104,1.0762366966380816,1.110567951938544,-0.03433125530046244,1,
H4,H4_B0_assertive_adaptive_minus_fixed_aggressive,minimum_footprint_separation_m,assertive,B0,B0,adaptive,fixed_aggressive,105,1.4539892061837127,1.4530598027295798,0.0009294034541329488,1,
H4,H4_B0_assertive_adaptive_minus_fixed_medium,ego_route_completion_duration_s,assertive,B0,B0,adaptive,fixed_medium,101,10.85,11.75,-0.9000000000000004,1,
H4,H4_B0_assertive_adaptive_minus_fixed_medium,ego_route_completion_duration_s,assertive,B0,B0,adaptive,fixed_medium,102,10.6,12.25,-1.6500000000000004,1,
H4,H4_B0_assertive_adaptive_minus_fixed_medium,ego_route_completion_duration_s,assertive,B0,B0,adaptive,fixed_medium,103,9.95,9.95,0.0,1,
H4,H4_B0_assertive_adaptive_minus_fixed_medium,ego_route_completion_duration_s,assertive,B0,B0,adaptive,fixed_medium,104,9.5,9.5,0.0,1,
H4,H4_B0_assertive_adaptive_minus_fixed_medium,ego_route_completion_duration_s,assertive,B0,B0,adaptive,fixed_medium,105,10.6,10.3,0.29999999999999893,1,
H4,H4_B0_assertive_adaptive_minus_fixed_medium,minimum_footprint_separation_m,assertive,B0,B0,adaptive,fixed_medium,101,1.0895944700371958,1.0589882596114186,0.03060621042577716,1,
H4,H4_B0_assertive_adaptive_minus_fixed_medium,minimum_footprint_separation_m,assertive,B0,B0,adaptive,fixed_medium,102,1.465869709627892,1.4657820123273775,8.769730051461089e-05,1,
H4,H4_B0_assertive_adaptive_minus_fixed_medium,minimum_footprint_separation_m,assertive,B0,B0,adaptive,fixed_medium,103,0.9456017515624402,0.9392275094131833,0.006374242149256859,1,
H4,H4_B0_assertive_adaptive_minus_fixed_medium,minimum_footprint_separation_m,assertive,B0,B0,adaptive,fixed_medium,104,1.0762366966380816,1.0765416095269598,-0.0003049128888781283,1,
H4,H4_B0_assertive_adaptive_minus_fixed_medium,minimum_footprint_separation_m,assertive,B0,B0,adaptive,fixed_medium,105,1.4539892061837127,1.422805175037891,0.0311840311458218,1,
H4,H4_B0_assertive_adaptive_minus_fixed_conservative,ego_route_completion_duration_s,assertive,B0,B0,adaptive,fixed_conservative,101,10.85,11.15,-0.3000000000000007,1,
H4,H4_B0_assertive_adaptive_minus_fixed_conservative,ego_route_completion_duration_s,assertive,B0,B0,adaptive,fixed_conservative,102,10.6,12.2,-1.5999999999999996,1,
H4,H4_B0_assertive_adaptive_minus_fixed_conservative,ego_route_completion_duration_s,assertive,B0,B0,adaptive,fixed_conservative,103,9.95,10.0,-0.05000000000000071,1,
H4,H4_B0_assertive_adaptive_minus_fixed_conservative,ego_route_completion_duration_s,assertive,B0,B0,adaptive,fixed_conservative,104,9.5,9.55,-0.05000000000000071,1,
H4,H4_B0_assertive_adaptive_minus_fixed_conservative,ego_route_completion_duration_s,assertive,B0,B0,adaptive,fixed_conservative,105,10.6,10.2,0.40000000000000036,1,
H4,H4_B0_assertive_adaptive_minus_fixed_conservative,minimum_footprint_separation_m,assertive,B0,B0,adaptive,fixed_conservative,101,1.0895944700371958,1.218095255715237,-0.12850078567804113,1,
H4,H4_B0_assertive_adaptive_minus_fixed_conservative,minimum_footprint_separation_m,assertive,B0,B0,adaptive,fixed_conservative,102,1.465869709627892,1.465777247092736,9.246253515615699e-05,1,
H4,H4_B0_assertive_adaptive_minus_fixed_conservative,minimum_footprint_separation_m,assertive,B0,B0,adaptive,fixed_conservative,103,0.9456017515624402,0.9323814201089295,0.013220331453510648,1,
H4,H4_B0_assertive_adaptive_minus_fixed_conservative,minimum_footprint_separation_m,assertive,B0,B0,adaptive,fixed_conservative,104,1.0762366966380816,1.0762462393557746,-9.542717692934133e-06,1,
H4,H4_B0_assertive_adaptive_minus_fixed_conservative,minimum_footprint_separation_m,assertive,B0,B0,adaptive,fixed_conservative,105,1.4539892061837127,1.45283701452237,0.0011521916613428385,1,
H4,H4_B0_reactive_adaptive_minus_fixed_aggressive,ego_route_completion_duration_s,reactive,B0,B0,adaptive,fixed_aggressive,101,11.35,11.5,-0.15000000000000036,1,
H4,H4_B0_reactive_adaptive_minus_fixed_aggressive,ego_route_completion_duration_s,reactive,B0,B0,adaptive,fixed_aggressive,102,10.8,11.2,-0.3999999999999986,1,
H4,H4_B0_reactive_adaptive_minus_fixed_aggressive,ego_route_completion_duration_s,reactive,B0,B0,adaptive,fixed_aggressive,103,11.1,11.2,-0.09999999999999964,1,
H4,H4_B0_reactive_adaptive_minus_fixed_aggressive,ego_route_completion_duration_s,reactive,B0,B0,adaptive,fixed_aggressive,104,10.2,10.15,0.049999999999998934,1,
H4,H4_B0_reactive_adaptive_minus_fixed_aggressive,ego_route_completion_duration_s,reactive,B0,B0,adaptive,fixed_aggressive,105,11.75,11.0,0.75,1,
H4,H4_B0_reactive_adaptive_minus_fixed_aggressive,minimum_footprint_separation_m,reactive,B0,B0,adaptive,fixed_aggressive,101,1.0582930901555025,1.0603437311107076,-0.0020506409552050187,1,
H4,H4_B0_reactive_adaptive_minus_fixed_aggressive,minimum_footprint_separation_m,reactive,B0,B0,adaptive,fixed_aggressive,102,1.3506695880419928,1.4401012059313532,-0.08943161788936038,1,
H4,H4_B0_reactive_adaptive_minus_fixed_aggressive,minimum_footprint_separation_m,reactive,B0,B0,adaptive,fixed_aggressive,103,0.9577103988245683,0.9356089765936154,0.022101422230952905,1,
H4,H4_B0_reactive_adaptive_minus_fixed_aggressive,minimum_footprint_separation_m,reactive,B0,B0,adaptive,fixed_aggressive,104,0.9934258361240389,0.9936823788677509,-0.00025654274371200714,1,
H4,H4_B0_reactive_adaptive_minus_fixed_aggressive,minimum_footprint_separation_m,reactive,B0,B0,adaptive,fixed_aggressive,105,1.2993527941515992,1.283288739590641,0.016064054560958274,1,
H4,H4_B0_reactive_adaptive_minus_fixed_medium,ego_route_completion_duration_s,reactive,B0,B0,adaptive,fixed_medium,101,11.35,11.95,-0.5999999999999996,1,
H4,H4_B0_reactive_adaptive_minus_fixed_medium,ego_route_completion_duration_s,reactive,B0,B0,adaptive,fixed_medium,102,10.8,11.5,-0.6999999999999993,1,
H4,H4_B0_reactive_adaptive_minus_fixed_medium,ego_route_completion_duration_s,reactive,B0,B0,adaptive,fixed_medium,103,11.1,11.1,0.0,1,
H4,H4_B0_reactive_adaptive_minus_fixed_medium,ego_route_completion_duration_s,reactive,B0,B0,adaptive,fixed_medium,104,10.2,10.1,0.09999999999999964,1,
H4,H4_B0_reactive_adaptive_minus_fixed_medium,ego_route_completion_duration_s,reactive,B0,B0,adaptive,fixed_medium,105,11.75,11.45,0.3000000000000007,1,
