predictor,risk,target,ego_init_id,relative_path,steps,valid_tightening_steps,valid_command_steps,mean_tightening,mean_nominal_accel_mps2,mean_actual_accel_mps2,mean_abs_supervisor_accel_delta_mps2,supervisor_request_fraction,post_action_applied_fraction,controller_accepted_fraction
P_star,fixed_medium,assertive_constant_speed,83,P_star__fixed_medium__assertive_constant_speed/scenario_uk_give_way_ego_init_83_smpc_fixed_risk/smpc_debug_steps.jsonl,213,213,213,1.64,-0.28565478009356826,-1.2379281823867998,0.9918464703655241,0.6244131455399061,0.2535211267605634,0.9859154929577465
P_star,fixed_medium,assertive_constant_speed,84,P_star__fixed_medium__assertive_constant_speed/scenario_uk_give_way_ego_init_84_smpc_fixed_risk/smpc_debug_steps.jsonl,190,190,190,1.64,-0.2560380708885028,-0.6949429706446144,0.5505988453036637,0.6947368421052632,0.22631578947368422,0.9789473684210527
P_star,fixed_medium,assertive_constant_speed,85,P_star__fixed_medium__assertive_constant_speed/scenario_uk_give_way_ego_init_85_smpc_fixed_risk/smpc_debug_steps.jsonl,266,266,266,1.64,-0.41832226896817504,-1.2153442189626442,0.8907530378750674,0.49624060150375937,0.24436090225563908,0.981203007518797
P_star,fixed_medium,assertive_constant_speed,86,P_star__fixed_medium__assertive_constant_speed/scenario_uk_give_way_ego_init_86_smpc_fixed_risk/smpc_debug_steps.jsonl,217,217,217,1.64,-0.377975691898745,-1.2940090852758452,0.9536181798706249,0.6082949308755761,0.2304147465437788,0.9815668202764977
P_star,fixed_medium,assertive_constant_speed,87,P_star__fixed_medium__assertive_constant_speed/scenario_uk_give_way_ego_init_87_smpc_fixed_risk/smpc_debug_steps.jsonl,200,200,200,1.64,-0.4017940416261667,-0.7567705566795666,0.4078306765270665,0.66,0.215,0.99
P_star,fixed_medium,assertive_constant_speed,88,P_star__fixed_medium__assertive_constant_speed/scenario_uk_give_way_ego_init_88_smpc_fixed_risk/smpc_debug_steps.jsonl,234,234,234,1.64,-0.37509203008878245,-1.2717026626641705,1.0478446167569662,0.5641025641025641,0.2948717948717949,0.9786324786324786
P_star,fixed_medium,assertive_constant_speed,89,P_star__fixed_medium__assertive_constant_speed/scenario_uk_give_way_ego_init_89_smpc_fixed_risk/smpc_debug_steps.jsonl,204,204,204,1.64,-0.2684212545675772,-1.2262391380775832,0.9984421956565371,0.6470588235294118,0.2647058823529412,0.9852941176470589
P_star,fixed_medium,assertive_constant_speed,90,P_star__fixed_medium__assertive_constant_speed/scenario_uk_give_way_ego_init_90_smpc_fixed_risk/smpc_debug_steps.jsonl,235,235,235,1.64,-0.4618048263568518,-0.8807477024704494,0.4930969940260373,0.5574468085106383,0.16170212765957448,0.9872340425531915
P_star,fixed_medium,defensive_reactive,81,P_star__fixed_medium__defensive_reactive/scenario_uk_give_way_ego_init_81_smpc_fixed_risk/smpc_debug_steps.jsonl,278,278,278,1.64,-0.41474642366321607,-1.458524662259513,1.0741003235176512,0.5143884892086331,0.24100719424460432,0.9820143884892086
P_star,fixed_medium,defensive_reactive,82,P_star__fixed_medium__defensive_reactive/scenario_uk_give_way_ego_init_82_smpc_fixed_risk/smpc_debug_steps.jsonl,209,209,209,1.64,-0.27498161718810615,-0.8213473158808081,0.6463326496039885,0.6650717703349283,0.23444976076555024,0.9952153110047847
P_star,fixed_medium,defensive_reactive,83,P_star__fixed_medium__defensive_reactive/scenario_uk_give_way_ego_init_83_smpc_fixed_risk/smpc_debug_steps.jsonl,232,232,232,1.64,-0.36056484810459943,-1.5368728661334097,1.2123595630741357,0.6163793103448276,0.27586206896551724,0.9870689655172413
P_star,fixed_medium,defensive_reactive,84,P_star__fixed_medium__defensive_reactive/scenario_uk_give_way_ego_init_84_smpc_fixed_risk/smpc_debug_steps.jsonl,240,240,240,1.64,-0.42450357945539363,-1.0341171664261155,0.6919294827657556,0.5916666666666667,0.2375,0.9875
P_star,fixed_medium,defensive_reactive,85,P_star__fixed_medium__defensive_reactive/scenario_uk_give_way_ego_init_85_smpc_fixed_risk/smpc_debug_steps.jsonl,262,262,262,1.64,-0.31569300424125185,-1.359331652716871,1.150036258326579,0.5381679389312977,0.2900763358778626,0.9809160305343512
P_star,fixed_medium,defensive_reactive,86,P_star__fixed_medium__defensive_reactive/scenario_uk_give_way_ego_init_86_smpc_fixed_risk/smpc_debug_steps.jsonl,243,243,243,1.64,-0.38950977503095047,-1.4958268528131689,1.1398880625925158,0.5843621399176955,0.25102880658436216,0.9835390946502057
P_star,fixed_medium,defensive_reactive,87,P_star__fixed_medium__defensive_reactive/scenario_uk_give_way_ego_init_87_smpc_fixed_risk/smpc_debug_steps.jsonl,217,217,217,1.64,-0.36557201636592423,-0.9439793764916915,0.6272701191677267,0.6497695852534562,0.24423963133640553,0.9907834101382489
P_star,fixed_medium,defensive_reactive,88,P_star__fixed_medium__defensive_reactive/scenario_uk_give_way_ego_init_88_smpc_fixed_risk/smpc_debug_steps.jsonl,290,290,290,1.64,-0.4173950780777216,-1.3619547134206138,1.057491075290643,0.4862068965517241,0.2793103448275862,0.9827586206896551
P_star,fixed_medium,defensive_reactive,89,P_star__fixed_medium__defensive_reactive/scenario_uk_give_way_ego_init_89_smpc_fixed_risk/smpc_debug_steps.jsonl,273,273,273,1.64,-0.4153783759340003,-1.4125396404144612,1.0279420076746801,0.5238095238095238,0.23076923076923078,0.989010989010989
P_star,fixed_medium,defensive_reactive,90,P_star__fixed_medium__defensive_reactive/scenario_uk_give_way_ego_init_90_smpc_fixed_risk/smpc_debug_steps.jsonl,239,239,239,1.64,-0.3572667099243195,-0.9054426055322572,0.6384341494176636,0.5899581589958159,0.23430962343096234,0.9874476987447699
