t,step,ey,epsi_deg,speed,vehicle_accel,cmd_accel,cmd_yaw_or_steer,final_accel_delta,solve_time_ms,risk_tightening,target_prob,ego_distance_to_conflict,supervisor_active,target_cleared,top_mode_probability
4.45,89,-0.03687061338,-2.526007423,4.855718535,3.707558232,0.2767956948,0.1459616256,-0.4047585832,146.097355,1.281551566,0.9,7.324325578,0,1,0.5364737511
4.5,90,-0.02937356708,-1.680271873,5.019379736,3.203006787,0.577315057,0.2574283014,-0.5767956974,86.153239,1.281551566,0.9,6.284782854,0,1,0.5532526374
4.55,91,-0.01730836354,-0.7698981849,5.148866601,2.488958403,0.4627293966,0.2612383454,-0.5767956974,133.973559,1.281551566,0.9,6.284782854,0,1,0.5636274815
4.6,92,-0.0109563991,-4.381420692,5.082578688,-1.409450193,0.2,0.174604461,-0.06702497464,136.906979,1.281551566,0.9,6.284782854,0,1,0.5549963117
4.65,93,-0.01192362702,-3.414221367,5.001844652,-1.6683956,0.2,0.1783329746,-0.1603143194,65.476085,1.281551566,0.9,6.284782854,0,1,0.5591332912
4.7,94,-0.008938594179,-2.504791817,5.152614573,2.933360038,0.5003769416,0.2879755693,-0.4999999983,119.525335,1.281551566,0.9,5.26017917,0,1,0.4981482923
4.75,95,-0.0008833096862,-1.58709391,4.980326316,-3.548284696,0.2078694735,0.2587052944,-0.2079426193,122.310777,1.281551566,0.9,5.26017917,0,1,0.5125140548
4.8,96,-0.00104440719,-5.127762123,5.115827656,2.554360841,0.2,0.2101078922,-0.1628830114,138.391926,1.281551566,0.9,5.26017917,0,1,0.6768044829
4.85,97,-0.002737560057,-4.142553612,5.057008505,-1.2769104,0.2,0.2123790983,-0.2184854944,64.457696,1.281551566,0.9,5.26017917,0,1,0.6697180271
4.9,98,-0.0002317769635,-3.153940483,5.051960377,-0.1802018292,0.842009782,0.3213170876,-0.9059258603,127.588696,1.281551566,0.9,4.23851459,0,1,0.6794062257
4.95,99,0.008151699487,-2.088693901,5.040212445,-0.3701348649,0.8293847157,0.3217887076,-0.9059258603,125.987506,1.281551566,0.9,4.23851459,0,1,0.6417046785
5,100,0.009502524864,-5.494613812,5.076484541,0.5307384327,0.2,0.2270135188,-0.1201521761,149.811656,1.281551566,0.9,4.23851459,0,1,0.5935391188
5.05,101,0.009856724426,-4.304721996,5.015507054,-1.343553889,0.2,0.2308541374,-0.2663131472,144.740299,1.281551566,0.9,4.23851459,0,1,0.6007985473
5.1,102,0.01446603474,-3.104652569,5.095670938,1.470522245,0.9475395756,0.3189626868,-1.025084269,140.056169,1.281551566,0.9,3.207789261,0,1,0.5952109694
5.15,103,0.02470492055,-1.920509503,5.097730096,-0.09440448471,0.9434929819,0.3184545204,-1.025084269,145.158685,1.281551566,0.9,3.207789261,0,1,0.6645292044
