t,step,ey,epsi_deg,speed,vehicle_accel,cmd_accel,cmd_yaw_or_steer,final_accel_delta,solve_time_ms,risk_tightening,target_prob,ego_distance_to_conflict,supervisor_active,target_cleared,top_mode_probability
2.9,58,-0.2263656294,1.850835634,1.262710629e-06,7.633773473e-06,1.8,0.1762095328,-3.6,0,1.64,0.9494974165,9.496227878,0,1,0.6013848782
2.95,59,-0.2263656294,1.850835634,9.995395886e-07,5.264041998e-06,1.8,0.1762095328,-3.6,0,1.64,0.9494974165,9.496227878,0,1,0.4877885282
3,60,-0.2263656294,1.850835634,7.317200439e-07,5.431106155e-06,1.8,0.1762095328,-3.6,0,1.64,0.9494974165,9.496227878,0,1,0.5665006042
3.05,61,-0.2263656294,1.850835634,5.39077289e-07,4.065972364e-06,1.8,0.1762095328,-3.6,0,1.64,0.9494974165,9.496227878,0,1,0.5039329529
3.1,62,-0.2263656294,1.850835634,4.099942226e-07,2.303345483e-06,1.8,0.1762095328,-3.6,0,1.64,0.9494974165,9.496227878,0,1,0.7138314247
3.15,63,-0.2263656294,1.850835634,1.448600051e-07,5.414997505e-06,1.8,0.4460657387,-1.792083254,131.001459,1.64,0.9494974165,9.496227878,0,1,0.7008202672
3.2,64,-0.224745764,1.925482584,0.4133112867,8.216199184,1.8,0.4999723311,-1.799837989,33.610502,1.64,0.9494974165,9.496227878,0,1,0.662764132
3.25,65,-0.2190139533,2.138492419,0.7698356233,7.034073465,1.8,0.4999849011,-1.800062039,31.315091,1.64,0.9494974165,9.496227878,0,1,0.6549344063
3.3,66,-0.2093149711,2.47906859,1.006423034,4.585313501,1.799328243,0.3573161491,-1.8,49.446592,1.64,0.9494974165,9.496227878,0,1,0.7294798493
3.35,67,-0.1977350867,2.90179999,1.157811,3.010759966,1.737526931,0.3606437865,-1.8,25.453745,1.64,0.9494974165,9.496227878,0,1,0.6759698391
3.4,68,-0.1841187566,3.379915072,1.334271529,3.454280639,1.8,0.1696638681,-1.799912891,100.802467,1.64,0.9494974165,9.496227878,0,1,0.6670556664
3.45,69,-0.1701202232,3.839294268,1.451549256,2.42459988,1.742158182,0.172717469,-1.8,79.409407,1.64,0.9494974165,9.496227878,0,1,0.6021344066
3.5,70,-0.1551012845,4.296626879,1.611399174,3.161144815,1.8,0.02820783782,-1.799769845,49.455339,1.64,0.9494974165,9.496227878,0,1,0.6120742559
3.55,71,-0.1396313306,4.741937472,1.705781362,1.918374568,1.744106637,0.03128940836,-1.8,75.513486,1.64,0.9494974165,9.496227878,0,1,0.6230375767
3.6,72,-0.1256291689,5.047448946,1.861826612,3.204981103,1.8,-0.07044918567,-1.79845061,54.983349,1.64,0.9494974165,9.496227878,0,1,0.5821690559
3.65,73,-0.1141682744,5.198051287,1.953556043,1.875008758,1.740414419,-0.06650068437,-1.8,29.242415,1.64,0.9494974165,9.496227878,0,1,0.5530875325
3.7,74,-0.1085032023,0.6877796341,2.113332262,3.204360963,1.8,-0.1041578526,-1.799483565,27.156554,1.64,0.9494974165,9.496227878,0,1,0.4887529314
3.75,75,-0.1083232633,0.6540558029,2.223048929,2.190745336,1.8,-0.103382339,-1.797916043,57.49122,1.64,0.9494974165,9.496227878,0,1,0.4730328619
3.8,76,-0.1097903236,0.5356800247,2.391924865,3.36678434,1.8,0.2412062207,-1.798131548,52.643708,1.64,0.9494974165,8.390807218,0,1,0.5412684083
3.85,77,-0.1120498635,0.3999721695,2.527333094,2.702821938,1.72000617,0.2476616372,-1.8,47.772848,1.64,0.9494974165,8.390807218,0,1,0.6353943944
3.9,78,-0.1098350039,0.4815742661,2.707177108,3.596934324,1.8,0.2330799636,-1.799793769,50.557683,1.64,0.9494974165,8.390807218,0,1,0.595195353
3.95,79,-0.1006254823,0.8804351975,2.866680107,3.117690451,1.708547573,0.2375531711,-1.8,76.862911,1.64,0.9494974165,8.390807218,0,1,0.5789839029
4,80,-0.08708593653,1.40188524,3.061477725,3.815195393,1.8,0.1636940683,-1.799414165,71.649007,1.64,0.9494974165,8.390807218,0,1,0.5781045556
4.05,81,-0.07055514503,1.981259554,3.245542361,3.625343746,1.695684407,0.1676636145,-1.8,46.083332,1.64,0.9494974165,8.390807218,0,1,0.6104844809
4.1,82,-0.06236600066,-2.007386326,3.455778521,4.177280685,1.735167074,0.09029497917,-1.8,110.830325,1.64,0.9494974165,8.390807218,0,1,0.6144602895
4.15,83,-0.05706454317,-1.496035694,3.68091721,4.503764563,1.681866215,0.09426190945,-1.8,47.29251,1.64,0.9494974165,8.390807218,0,1,0.6171322465
4.2,84,-0.05156458619,-1.035956501,3.910983311,4.596129342,1.790710468,0.2705055981,-1.8,38.287739,1.64,0.9494974165,7.324325501,0,1,0.6071590185
4.25,85,-0.04482137887,-0.5728503457,4.127626136,4.310919178,1.796185112,0.2438626086,-1.8,62.316149,1.64,0.9494974165,7.324325501,0,1,0.6806978583
4.3,86,-0.03306929603,0.06074798196,4.325308144,3.838831552,1.8,0.2065765943,-1.799638103,34.01999,1.64,0.9494974165,7.324325501,0,1,0.6754903793
4.35,87,-0.02403287111,-3.690861472,4.526304762,3.922085848,1.675923879,0.2106011269,-1.8,32.440979,1.64,0.9494974165,7.324325501,0,1,0.6853856444
4.4,88,-0.02038048736,-2.833685645,4.724703341,3.876219726,0.3101186638,0.1082437697,-0.002549363319,54.54234,1.64,0.9494974165,7.324325501,0,1,0.5394789577
4.45,89,-0.01502011724,-2.038666495,4.90669243,3.611205166,0.2373230278,0.1184471339,-0.2716138142,52.536439,1.64,0.9494974165,6.284782777,0,1,0.5367910266
