cell,ego_init_id,split,scenario_dir,collision_callbacks,unique_collision_frames,contact_episodes,monitored_roles,other_actor_types,labeled_samples,usable_windows,full_horizon_windows,history_overlap_windows,future_overlap_windows,post_collision_windows,affected_usable_windows,affected_window_semantics
S1_ADAPTIVE,27,train,scenario_uk_give_way_ego_init_27_smpc_var_risk,12,4,3,target_2,traffic.traffic_light,58,27,18,,,,27,conservative_upper_bound
S1_ADAPTIVE,28,train,scenario_uk_give_way_ego_init_28_smpc_var_risk,0,0,0,,,68,24,15,0,0,0,0,exact_zero
S1_ADAPTIVE,29,train,scenario_uk_give_way_ego_init_29_smpc_var_risk,0,0,0,,,68,27,18,0,0,0,0,exact_zero
S1_ADAPTIVE,30,train,scenario_uk_give_way_ego_init_30_smpc_var_risk,0,0,0,,,54,27,18,0,0,0,0,exact_zero
S1_ADAPTIVE,31,train,scenario_uk_give_way_ego_init_31_smpc_var_risk,0,0,0,,,57,25,16,0,0,0,0,exact_zero
S1_ADAPTIVE,32,train,scenario_uk_give_way_ego_init_32_smpc_var_risk,0,0,0,,,67,24,15,0,0,0,0,exact_zero
S1_ADAPTIVE,33,train,scenario_uk_give_way_ego_init_33_smpc_var_risk,0,0,0,,,51,24,15,0,0,0,0,exact_zero
S1_ADAPTIVE,34,train,scenario_uk_give_way_ego_init_34_smpc_var_risk,0,0,0,,,52,27,18,0,0,0,0,exact_zero
S1_ADAPTIVE,35,train,scenario_uk_give_way_ego_init_35_smpc_var_risk,0,0,0,,,65,27,18,0,0,0,0,exact_zero
S1_ADAPTIVE,36,train,scenario_uk_give_way_ego_init_36_smpc_var_risk,0,0,0,,,52,27,18,0,0,0,0,exact_zero
S1_ADAPTIVE,37,train,scenario_uk_give_way_ego_init_37_smpc_var_risk,0,0,0,,,72,27,18,0,0,0,0,exact_zero
S1_ADAPTIVE,38,train,scenario_uk_give_way_ego_init_38_smpc_var_risk,0,0,0,,,57,27,18,0,0,0,0,exact_zero
S1_ADAPTIVE,39,train,scenario_uk_give_way_ego_init_39_smpc_var_risk,0,0,0,,,55,27,18,0,0,0,0,exact_zero
S1_ADAPTIVE,40,train,scenario_uk_give_way_ego_init_40_smpc_var_risk,0,0,0,,,64,27,18,0,0,0,0,exact_zero
