cell_id,predictor,risk_policy,target_style,ego_init_id,completion_time_s,target_clearance_adjusted_completion_delay_s,rollout_start_time_s,ego_completion_time_s,target_clearance_time_s,completion_clock_residual_s,completion_valid,min_footprint_separation_m,min_center_distance_m,footprint_collision,yield_order_valid,clearance_s,feasibility_fraction,solver_failure_fraction,average_solve_time_s,max_lateral_acceleration_mps2,avg_longitudinal_jerk_mps3,avg_lateral_jerk_mps3,supervisor_active_fraction,hard_stop_override_fraction,risk_tightening_mean,adaptive_risk_solver_fraction,reactive_active_samples,invalid_probabilities,invalid_covariances
B1_fixed_conservative_reactive,B1,fixed_conservative,reactive,50,10.100000150501728,8.150000121444464,344.3585516102612,354.45855176076293,346.30855163931847,0.0,1.0,1.2654270746226322,4.6790479464149906,0.0,1.0,1.2000000178813934,1.0,0.0,0.06485075350246305,5.701703443552436,5.153073960271546,5.191431847118423,0.12315270935960591,0.12315270935960591,2.053748910631822,0.0,0,0,0
B1_adaptive_assertive,B1,adaptive,assertive,46,9.850000146776438,7.900000117719173,377.62048076093197,387.4704809077084,379.57048078998923,0.0,1.0,0.9861039421566887,4.506920422575046,0.0,1.0,1.1500000171363354,0.9949494949494949,0.005050505050505051,0.09217690629441624,4.414773780556682,5.085375912548116,3.9434217083851193,0.1414141414141414,0.1414141414141414,1.3800330674592867,1.0,0,0,0
B1_adaptive_assertive,B1,adaptive,assertive,47,9.200000137090683,7.200000107288361,400.156446442008,409.3564465790987,402.15644647181034,0.0,1.0,1.0344460919996392,4.4909934739572215,0.0,1.0,1.1000000163912773,1.0,0.0,0.0809641222972973,4.8841158135069485,5.439394267911937,6.2760605276139225,0.12972972972972974,0.12972972972972974,1.3833055804936558,1.0,0,0,0
B1_adaptive_assertive,B1,adaptive,assertive,48,12.450000185519457,10.500000156462193,420.7000480145216,433.15004820004106,422.65004804357886,0.0,1.0,1.1350885312938095,4.614027930693508,0.0,1.0,1.5000000223517418,0.996,0.004,0.08678311208433735,5.217193392979956,5.234105383382322,2.557676188353936,0.132,0.132,1.360201169556828,1.0,0,0,0
B1_adaptive_assertive,B1,adaptive,assertive,49,10.150000151246786,8.200000122189522,444.4362053461373,454.58620549738407,446.38620537519455,0.0,1.0,1.3294770603890116,4.790466938414517,0.0,1.0,1.3000000193715096,0.9950980392156863,0.004901960784313725,0.09082364365517243,6.119808667331851,5.6314346411525165,3.789387838442982,0.13725490196078433,0.13725490196078433,1.3763558659092887,1.0,0,0,0
B1_adaptive_assertive,B1,adaptive,assertive,50,10.700000159442425,8.75000013038516,465.7227247059345,476.42272486537695,467.6727247349918,0.0,1.0,1.7853060353707149,5.117019080846188,0.0,1.0,1.3500000201165676,0.9953488372093023,0.004651162790697674,0.08807249725233644,5.375110608639204,5.16120320231875,4.42980409021119,0.13488372093023257,0.13488372093023257,1.3735727904738317,1.0,0,0,0
B1_adaptive_reactive,B1,adaptive,reactive,46,11.950000178068876,9.450000140815973,499.9140017069876,511.8640018850565,502.4140017442405,0.0,1.0,0.8385478450793392,4.33013434717971,0.0,1.0,1.4500000216066837,0.9958333333333333,0.004166666666666667,0.08668927895815899,4.4380807694082005,5.342919186265369,3.1950521097862317,0.1625,0.1625,1.3856992731202313,1.0,15,0,0
B1_adaptive_reactive,B1,adaptive,reactive,47,9.250000137835741,7.250000108033419,522.357621666044,531.6076218038797,524.3576216958463,0.0,1.0,1.0166451664745086,4.474384022707809,0.0,1.0,1.1000000163912773,1.0,0.0,0.08597159465053764,4.879045855609197,5.4851050738368174,6.296361289272617,0.12903225806451613,0.12903225806451613,1.3827605454631133,1.0,0,0,0
B1_adaptive_reactive,B1,adaptive,reactive,48,11.700000174343586,9.250000137835741,543.2041986882687,554.9041988626122,545.6541987247765,0.0,1.0,1.122764224844698,4.584156771359165,0.0,1.0,1.5000000223517418,0.9914893617021276,0.00851063829787234,0.08034009688412017,5.251858191148006,5.311373184151751,2.6997876299037715,0.1829787234042553,0.1829787234042553,1.3868397858743529,1.0,10,0,0
B1_adaptive_reactive,B1,adaptive,reactive,49,10.250000152736902,7.9500001184642315,566.7390087433159,576.9890088960528,569.0390087775886,0.0,1.0,1.215280911937039,4.689672701632786,0.0,1.0,1.3500000201165676,0.9951456310679612,0.0048543689320388345,0.0861057810682927,6.149530548873686,6.543112922711181,3.668066475486815,0.16990291262135923,0.16990291262135923,1.392402501502759,1.0,9,0,0
B1_adaptive_reactive,B1,adaptive,reactive,50,11.000000163912773,9.050000134855509,587.254331342876,598.2543315067887,589.2043313719332,0.0,1.0,1.8078267845874658,5.134564365962205,0.0,1.0,1.3500000201165676,0.995475113122172,0.004524886877828055,0.08917787484090907,5.375089363818342,5.086989527181172,4.3042340971463116,0.13122171945701358,0.13122171945701358,1.3710737187912059,1.0,0,0,0
B0_fixed_aggressive_assertive,B0,fixed_aggressive,assertive,46,9.950000148266554,8.00000011920929,622.855150192976,632.8051503412426,624.8051502220333,0.0,1.0,0.9984228959910301,4.518395188938372,0.0,1.0,1.1500000171363354,0.995,0.005,0.09209816919597989,4.4379996887984134,5.3205024457607815,3.8958201931963323,0.14,0.14,1.2815515655445986,0.0,0,0,0
